"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"MisterAleem","",27,12,0,0,NA,"MisterAleem",2018-04-23 18:28:47,FALSE,FALSE,"MisterAleem","","sk","988484846489137153",0,FALSE,"http://pbs.twimg.com/profile_images/988485047266283521/DFTnNELg_normal.jpg"
"NickFury2018","#TheResistance 
Recruitment Director of #HeroesResist 💥
Former Director of S.H.I.E.LD.
#AvengersAssemble #VoteBlue #DemocratsWontTryToKillYou",18114,6450,23742,4177,NA,"Nick Fury 2018 💥",2017-08-13 17:41:49,FALSE,FALSE,"NickFury2018","Avengers Mansion, NYC ","en","896788896784297984",5,FALSE,"http://pbs.twimg.com/profile_images/982651302206431232/KiQKiopu_normal.jpg"
"PalmerReport","Palmer Report: timely, accurate, honest political analysis. Followed by President Obama. Blocked by Donald Trump Junior. Do the math.",67418,210915,7919,151953,"https://t.co/1OJ2cVYAy2","Palmer Report",2008-06-14 07:46:44,FALSE,TRUE,"PalmerReport","Los Angeles, CA","en","15115280",2502,FALSE,"http://pbs.twimg.com/profile_images/981799499243798528/syScPtp2_normal.jpg"
"TheDemCoalition","The nation's largest grassroots Resistance organization. We campaign for Democrats, investigate Trump/GOP and we fight foreign influence. #TheResistance",101635,176095,57628,18822,"https://t.co/81I6JTLpUG","Democratic Coalition",2016-03-26 21:25:24,FALSE,TRUE,"TheDemCoalition","New York, USA","en","713839291210792960",1042,FALSE,"http://pbs.twimg.com/profile_images/837403510111105025/RaRX8t9n_normal.jpg"
"TruckersVote","- - 3.5 million USA #Trucker Families - -  #Democrat - #Republican - #Independent - USA Workers of All Trades Have Been Divided & Conquered - Vote in Primaries!",11942,29407,39684,27992,NA,"The Trucker Vote",2012-05-06 22:59:13,FALSE,FALSE,"TruckersVote","On the Road U.S.A.","en","573173793",110,FALSE,"http://pbs.twimg.com/profile_images/883569789183991808/Osadv4Pe_normal.jpg"
"TruthBlueIn","#KavaNO #Midterms2018 #votesaveamerica https://t.co/ViwWpJ59Rq #Resist Empowering women empowers humanity #PasstheERA This snowflake knows 45 is killin' USA",20901,13373,25896,11214,"https://t.co/ONBkSf0L4r","SpringForward 🌊The Blue Wave Is Coming",2013-08-02 17:02:52,FALSE,FALSE,"TruthBlueIn","America, Land of the Free","en","1640917519",2,FALSE,"http://pbs.twimg.com/profile_images/1025034278852149248/0sEIQRSW_normal.jpg"
"Wonkette","#RESIST",103676,62815,747,513,"http://t.co/sYNSZLcvQG","Wonkette",2008-02-07 18:40:18,FALSE,FALSE,"Wonkette","Washington","en","13215382",2906,FALSE,"http://pbs.twimg.com/profile_images/525319034619715584/P0NtXc4f_normal.jpeg"
"aroseblush","CEO-Exec Motion Pictures. Retired. Film buff. Gardening. Daylily Hybridizer. Pomeranians Rule! Political Junkie. #BlueWave2018 #NotMyPresident #TheResistance 💪💪",86876,13185,15419,10524,NA,"Alex",2009-03-06 18:25:05,FALSE,FALSE,"aroseblush","New England","en","23098409",103,FALSE,"http://pbs.twimg.com/profile_images/730031354440613888/X030U2sH_normal.jpg"
"cowards_are_us","Fair-minded male who can no longer tolerate the ""party over Country"" mentality & hypocrisy that's destroying our nation! This will END in November!",12940,6707,960,7353,NA,"Stacy for Integrity",2016-05-29 13:00:17,FALSE,FALSE,"cowards_are_us","Chicago, IL","en","736905000593575936",48,FALSE,"http://pbs.twimg.com/profile_images/968961167493181441/sZg4GBej_normal.jpg"
"crpswarrior1","Be somebody who makes everybody feel like somebody.
#resist",13739,1787,35697,2292,NA,"greeneyed lady",2017-08-22 03:23:27,FALSE,FALSE,"crpswarrior1","Indiana, USA","en","899834374262226944",6,FALSE,"http://pbs.twimg.com/profile_images/993153153297199105/rtGmRdWJ_normal.jpg"
"defenddacatx","#DefendDACA #DefendDREAMers #StopDeportations #DACA #SaveIraqiChristians Deport Trump. Keep families together. https://t.co/yRWu5w0j5y -Sign It!",26273,8998,19044,8448,"https://t.co/S6YdS8CBBa","#DefendDACA ⚔️🇺🇸",2017-09-08 09:15:34,FALSE,FALSE,"defenddacatx","Houston, TX","en","906083580580913152",20,FALSE,"http://pbs.twimg.com/profile_images/922746223836221442/7SvSYyhg_normal.jpg"
"dusterdog1","Retired. Nature & animal lover, avid reader/gardener/cook. Grandma to seven, Great Grandma to two. I hate the Trump Agenda!  #Resist #FBR #BlueWave  No DMs",17131,4122,16600,4142,NA,"Doodlebug",2016-07-05 16:30:21,FALSE,FALSE,"dusterdog1","Springfield Missouri","en","750366213419601920",7,FALSE,"http://pbs.twimg.com/profile_images/966474709423480832/CoU1i7gQ_normal.jpg"
"dwaynecobb","USMC(65-69) SSGT E6 VN Vet(66-67) 1st 6th & 8th Marines GTMO 68  #RestoreTheVRA #BLM  A/Legion Post 331  #GunSense VFW    #CIR  - UCF-81   #FBR  #UniteBlue",166504,27587,54032,29796,NA,"dwayne cobb",2009-03-27 23:19:38,FALSE,FALSE,"dwaynecobb","Birmingham, AL","en","27124758",301,FALSE,"http://pbs.twimg.com/profile_images/112382237/dwayne1_normal.jpg"
"funder","Co-Founder @TheDemCoalition. Host of #DworkinReport podcast. Proud member of #TheResistance. Dem strategist. Investigator. Helped uncover #TrumpRussia scandal.",185138,379189,86657,54219,"https://t.co/C8LaSjzXvH","Scott Dworkin",2008-03-28 21:38:52,FALSE,TRUE,"funder","","en","14247236",3756,FALSE,"http://pbs.twimg.com/profile_images/843990001532764160/yjMRQs74_normal.jpg"
"lori_go","Happy Warrior Fighting Against Nationalism",26216,2909,9448,3005,NA,"lori_go",2009-01-21 20:07:37,FALSE,FALSE,"lori_go","USA","en","19304528",18,FALSE,"http://pbs.twimg.com/profile_images/1034567856430690309/QOOJ6WRR_normal.jpg"
"maydaymindy9","Middle Age Mama I say what People Think😎 Big on run-on sentences & typos flunked English but got an A in Witty 🤨 #TheResistance #GoBlue #resist #FBR #bluewave",14805,43695,20666,37489,NA,"Mayday Mindy 🌊",2017-01-29 18:43:09,FALSE,FALSE,"maydaymindy9","East Coast","en","825776310790266883",109,FALSE,"http://pbs.twimg.com/profile_images/1033167209919651841/jbaU_rUv_normal.jpg"
"misinfonewsfeed","Automated retweets of chatter and news about misinformation, disinformation, ""fake news"" and social media | Powered by @tweetsdistilled | Created by @margarita",11189,458,5,6,NA,"Misinfo:News",2017-11-09 16:25:26,FALSE,FALSE,"misinfonewsfeed","","en","928659805337718786",30,FALSE,"http://pbs.twimg.com/profile_images/929027785179500544/gyl06F3M_normal.jpg"
"ninaandtito","corruption foe/conspiracy encyclopedia/feminist/nosy housewife/ex-GS & hedge fund/my Twitter Moments=deep dives into #TrumpRussia & #TransnationalOrganizedCrime",76936,27996,136073,6015,"https://t.co/oOeCSGd7MS","K. Louise Neufeld🦉⚖️🇺🇸",2014-08-04 11:56:50,FALSE,FALSE,"ninaandtito","NYC","en","2706430603",249,FALSE,"http://pbs.twimg.com/profile_images/997896713766612993/tyrOm-xE_normal.jpg"
"njterrie","Let's work to stop racism, inequality & hatred. Jersey girl now in AZ. #VoteThemAllOut #TheResistance #NeverAgain #StillWithHer #Indivisible https://t.co/WaIRJF0ssg 💙🇺🇸✊🏻",89046,4682,103854,5044,NA,"@StopHateNow",2015-09-26 16:39:02,FALSE,FALSE,"njterrie","Arizona, USA","en","3783815248",32,FALSE,"http://pbs.twimg.com/profile_images/876894070680862720/JZoF5Qme_normal.jpg"
"russ30327","Dedicated to getting rid of Trump",83271,3029,8060,1431,NA,"Russ M",2017-06-26 15:51:38,FALSE,FALSE,"russ30327","Missouri","en","879366553174761472",21,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"snowflake_miner","#WeAre  Gen X DOD env engineer. gearhead. https://t.co/kBo7fYPJLr. https://t.co/5rQOPcsfAm https://t.co/b4kgnbMc2a",44595,3745,101702,4903,NA,"Eric, the Smartass Snowflake Miner",2017-07-13 18:03:10,FALSE,FALSE,"snowflake_miner","Philly, City of Champions","en","885560246038654982",5,FALSE,"http://pbs.twimg.com/profile_images/1036446659755089920/MqEF9-x4_normal.jpg"
"AynRandPaulRyan","Founder, @bluewavecs, co-org @MarchForTruth17, op-eds, @washingtonpost @guardian, Grammy-losing songwriter. I sued Trump and won. I have 5 kids. Can't scare me.",60713,183304,170949,5781,"https://t.co/Qd4RzONMoi","Holly Figueroa O'Reilly",2012-08-13 21:09:18,FALSE,TRUE,"AynRandPaulRyan","Washington, USA","en","755835576",1348,FALSE,"http://pbs.twimg.com/profile_images/967103708889665536/INhp1Hes_normal.jpg"
"waltshaub","Former Director of @OfficeGovEthics. Personal account. Views expressed here are not the views of my employer.",1009,250704,19475,1222,NA,"Walter Shaub",2017-02-12 22:36:06,FALSE,TRUE,"waltshaub","Washington, DC","en","830908366377611266",1708,FALSE,"http://pbs.twimg.com/profile_images/925474822523703297/j69NttIp_normal.jpg"
