"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"rosie514","Retired w/time & energy to help #MAGA! Let's do this! Support our #POTUS-respect our flag & military. #WWG1WGA #Qanon - I follow back Trumpers",23431,8239,15402,8334,NA,"QSoldier ❌",2013-05-04 14:32:31,FALSE,FALSE,"rosie514","Milwaukee, WI","en","1402495238",5,FALSE,"http://pbs.twimg.com/profile_images/1002182724596195328/K5WtpCJH_normal.jpg"
"AbbeyMaeCook88","Awoken Patriot with a song in her heart.
#WWG1WGA #QAnon #TheGreatAwakening #TrustThePlan #WeThePeople The NWO is real!!!",599,987,908,915,"https://t.co/jJnX9Xhay3","BlueEyes",2018-02-16 19:17:46,FALSE,FALSE,"AbbeyMaeCook88","","en","964579576302063617",2,FALSE,"http://pbs.twimg.com/profile_images/1023646120080109568/bxzU5cAv_normal.jpg"
"AkramiTaha","International Security Analyst / 
PhD Candidate",3128,13694,36614,15050,NA,"Taha Akrami",2017-11-29 13:03:18,FALSE,FALSE,"AkramiTaha","","en","935856697498849281",6,FALSE,"http://pbs.twimg.com/profile_images/1006095417887608832/MYCBWpQM_normal.jpg"
"Boriskogan5","",11201,122,15684,113,NA,"Boris kogan",2015-07-18 23:42:26,FALSE,FALSE,"Boriskogan5","","en","3382456498",0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"ChristeneDove","might as well wake all the way up",12796,1450,15093,1517,NA,"Mourning.Dove",2016-08-28 16:30:13,FALSE,FALSE,"ChristeneDove","","en","769935127606550528",1,FALSE,"http://pbs.twimg.com/profile_images/953587961035046912/eW-2i1sP_normal.jpg"
"fanaticraven","#Christ Is King  Daughter of WWII Vet.,  Wife to ArmyOfficer Vet.,
Mom to #USAF Officer 
 #CaneAlums Wife,
  #WVUAlums Mom
 #Maryland #Orioles #Ravens",54388,1492,115568,1602,NA,"ravenfanat!c",2012-10-04 00:37:37,FALSE,FALSE,"fanaticraven","","en","860584166",40,FALSE,"http://pbs.twimg.com/profile_images/1017276668812169216/x77mUBDP_normal.jpg"
"isabell08481837","MADE IN USA NOT A RUSSIAN BOT",44539,1079,45232,1238,NA,"isabella Qanon",2013-06-04 05:33:01,FALSE,FALSE,"isabell08481837","","en","1481460001",56,FALSE,"http://pbs.twimg.com/profile_images/378800000390615188/242f8c4023ccf98341aa8cb3c00ae80e_normal.jpeg"
"Naninani51","CatholicWifeMomNani SicilianHeritage🇮🇹#CommonSenseConservative ProLifeProMilitary🇺🇸#PartnerInHope 35+yrsStJude'sHospitalMemphis #TRUMP2020 #KAG2020 NoLists",58189,29275,26367,27854,NA,"NadineCalcara ❌",2012-10-23 03:26:16,FALSE,FALSE,"Naninani51","Kansas City, Missouri","en","899079080",17,FALSE,"http://pbs.twimg.com/profile_images/1033405964064567298/fv6aOjED_normal.jpg"
"robinfajen1970","Political News Weather United States Cabinet Government & Politics Space Science Technology & Science Fashion & Beauty United States Cabinet #Election2016",7010,481,2791,776,NA,"Robin Fajen❌",2013-11-30 23:35:16,FALSE,FALSE,"robinfajen1970","","en","2223874044",0,FALSE,"http://pbs.twimg.com/profile_images/928385049023668224/4tQz0Iux_normal.jpg"
"TuxiTalk1","#MAGA #Wictorian🔥female 🐈 cat! Pro-Islam🕋 #TogetherWePrevail🇸🇦❤️🇺🇸 ❤️ #IAmSaudi (honorary) ❤️🇸🇦❤️Taking my Arabic lessons nice, slow and easy🤔😳😉🤨😳",289278,6188,203164,6808,"https://t.co/LKkRKzN4u8","Tuxi Talk 1",2015-05-26 01:48:03,FALSE,FALSE,"TuxiTalk1","Southeast PA, Yo!","en","3298684151",179,FALSE,"http://pbs.twimg.com/profile_images/1038382527977869312/9UOKRso7_normal.jpg"
"USA4TRUMP","Service disabled Marine Corps Veteran. State Dept, Criminal Investigator.    
                          
I'll sleep when I'm dead.",26969,49645,1298,4534,"https://t.co/IxLjEB2zlE","USA4TRUMP",2015-06-29 22:21:57,FALSE,FALSE,"USA4TRUMP","California, USA","en","3260501809",117,FALSE,"http://pbs.twimg.com/profile_images/830923739680247808/hL2XwscL_normal.jpg"
"WhiteOne413","American ... East Coast Stylin ... Always #followback ... Check me out!  #tcot #teaparty #LNYHBT ... freedom.",31470,10032,2069,10739,NA,"Betty",2011-09-29 18:21:21,FALSE,FALSE,"WhiteOne413","East Coast Style","en","382232554",94,FALSE,"http://pbs.twimg.com/profile_images/1565535649/white_lion_normal.jpg"
"celesteholsinge","Domestic Goddess/ Beach Bum/ Army brat/ Patriotic American/ Conservative Mother of 2 Awesome Sons/ Queen of Retweets ~No Lists I will block you!! #MAGA 🇺🇸",49893,8019,71260,8599,NA,"DeplorableTeta",2012-08-31 09:30:11,FALSE,FALSE,"celesteholsinge","mack.city","en","793484450",61,FALSE,"http://pbs.twimg.com/profile_images/823665815870472192/0W6-x8Yb_normal.jpg"
"denise39deer","MAGA      TWINLESS TWIN",48162,8887,27383,6783,NA,"#WINNING #MAGA #WWG1WGA",2010-09-13 01:18:00,FALSE,FALSE,"denise39deer","Not Russia ","en","190082995",24,FALSE,"http://pbs.twimg.com/profile_images/1012384160051167232/skGVANtG_normal.jpg"
"TheAlaskanInFL","retweet=endorsement. retweet w quote=read quote to see if I endorse. Conservative. Alaskan at heart. Constitutionalist. tennis, basketball curling. CPA ISTJ",18359,337,3519,350,NA,"Chris",2015-11-20 17:59:51,FALSE,FALSE,"TheAlaskanInFL","Jacksonville, Florida ","en","4303387100",14,FALSE,"http://pbs.twimg.com/profile_images/1008184056519983104/y-dvVoRv_normal.jpg"
"zeusFanHouse","It is what it is",72706,11141,46722,10560,NA,"Bill D ❌",2011-03-01 13:58:02,FALSE,FALSE,"zeusFanHouse","Chicagoland","en","259260816",546,FALSE,"http://pbs.twimg.com/profile_images/461687204478087169/-dQBsFhY_normal.jpeg"
"cathymv","Conservative NY'er- what can go wrong? #MAGA !!! @BasketOfDeplorables I support President Trump!!  #KAG",92717,5539,469,5852,NA,"Cathymv - #MAGA",2008-12-08 16:00:12,FALSE,FALSE,"cathymv","NY","en","17965226",76,FALSE,"http://pbs.twimg.com/profile_images/907577272135073794/Z6RhjfTK_normal.jpg"
"Curiouswithlife","",13308,449,10276,562,NA,"Curious",2017-12-03 02:17:59,FALSE,FALSE,"Curiouswithlife","","en","937143849213923328",3,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"DebsterAPTT45","#AmericanPrideTT45 #MAGA #Trump2020 #Bluehand #2a #Military #Vets #WWG1WGA #KAG #Nascar #NHL #QANON #ccot #tcot #QFActual FB @GenFlynn @nedryun",1910,10009,977,7733,"https://t.co/OPV898umcj","🔥The Debster🔥",2017-12-25 23:46:38,FALSE,FALSE,"DebsterAPTT45","Trump Train, USA","en","945440681471782913",3,FALSE,"http://pbs.twimg.com/profile_images/1030042317351202816/whCd24v1_normal.jpg"
"Joseph_Greely","Folks Keep Talkin' About Another Civil War 💣. ___ One Side Has 8 Trillion Bullets (Republicans)👍. ___ The Other Doesn't Know Which Bathroom To Use (Democrats)👎.",77779,1425,46777,648,NA,"Joseph Greely♿️🇺🇸",2009-09-06 17:55:27,FALSE,FALSE,"Joseph_Greely","United States","en","72086688",76,FALSE,"http://pbs.twimg.com/profile_images/492530159598067712/j9V-4ZTT_normal.jpeg"
"LeftLoons","",12388,485,18627,264,NA,"Lisa Ray",2018-01-26 15:47:40,FALSE,FALSE,"LeftLoons","","en","956916554322427905",6,FALSE,"http://pbs.twimg.com/profile_images/964577699699204096/Xyj905Hp_normal.jpg"
"MikeRyan2016","New Business & Project Development: Providing on-site solutions to any situation for a diverse group of worldwide clients. USA-International Installations.",22571,2269,211,4861,"https://t.co/dKOQnrJHDg","Mike Ryan",2016-03-04 13:23:13,FALSE,FALSE,"MikeRyan2016","Worldwide Patriot","en","705745412628418560",17,FALSE,"http://pbs.twimg.com/profile_images/967405993037565953/KtNQ9ybb_normal.jpg"
"MrsAmerica1776","❤🇺🇸❤ #GodBlessAmerica #WWG1WGA #MAGA #ΜΟΛΩΝΛΑΒΕ #WalkAway ❤🇱🇷❤",19751,4061,43467,4133,"https://t.co/6qpxCM7KTA","❌Liberty❌",2010-01-17 23:34:11,FALSE,FALSE,"MrsAmerica1776","United States","en","105925267",24,FALSE,"http://pbs.twimg.com/profile_images/1010554101254352897/RjdfX-zu_normal.jpg"
"O_IrishT","Q✨TRUMP PROUD!💫 Pro-Life Trump since Day 1 ✨TrustTrump⚜️ #MAGA🚂AmericaFirst 🇺🇸 MyPresident✨💕Animals❤️My kitties!😻 I Follow Back‼️  https://t.co/xE5xzZFRIP",435119,13375,247771,10990,NA,"💫’Q’🌪✨☘️O'Irish✨🇺🇸🚂💨",2011-08-14 22:37:52,FALSE,FALSE,"O_IrishT","Tennessee, USA","en","355151947",24,FALSE,"http://pbs.twimg.com/profile_images/1780861315/DresdenPlate_normal.jpg"
"Qandew","#QAnon #WWG1WGA 
 #GreatAwakeningWorldwide #PatriotsUnited #InalienableRights 
Stop U.N. theft of sovereignty
I don't respond to the ignorant & brainwashed.",25499,2166,1847,3128,NA,"QAndew",2018-01-20 03:37:59,FALSE,FALSE,"Qandew","Hotazel","en","954558599388315648",10,FALSE,"http://pbs.twimg.com/profile_images/1018183246218080256/dPAqhflb_normal.jpg"
"BBTruthbetold","I am a BabyBoomer that cannot stand what has happened to our beautiful country, hard working American Patriots and honorable veterans.",7263,82,7447,152,NA,"BBTruthbetold",2018-03-15 03:34:31,FALSE,FALSE,"BBTruthbetold","Oregon, USA","en","974126670356520960",0,FALSE,"http://pbs.twimg.com/profile_images/974140391933931522/BUp0L-j8_normal.jpg"
