"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"RubyRockstar333","FB: @GenFlynn @mflynnJR
@ericbolling @DineshDSouza
@KatrinaPierson @Scaramucci 
@AntonioSabatoJr @RealDrGina @deneenborelli @LauraLoomer
@therealroseanne ❤️🇺🇸",109792,64985,173276,26874,NA,"Ruby RockStar 🎸",2016-07-24 05:04:27,FALSE,FALSE,"RubyRockstar333","👉 No DMs & No Trains 👈","en","757078971590651904",180,FALSE,"http://pbs.twimg.com/profile_images/1037147975548592133/VpOe9Ged_normal.jpg"
"John_KissMyBot","Donald J Trump is my President, Conservative, USAF Vet, (78 - 82) Married 34 yrs and proud father of two Conservative Sons. Trump 2020 🇺🇸 #KAG",293230,125950,201077,68397,NA,"John~💋Kiss My Bot",2012-11-28 02:40:26,FALSE,FALSE,"John_KissMyBot","Where Freedom Rings ","en","975217231",699,FALSE,"http://pbs.twimg.com/profile_images/946564236897026048/dvb5y5u5_normal.jpg"
"JacquelynDeSmit","I love God, my Country and my President 🇺🇸🙏❤️ hate being shadowbanned ❌",27294,4185,14339,4600,NA,"Jacquelyn DeSmith",2017-09-03 14:09:06,FALSE,FALSE,"JacquelynDeSmit","USA","en","904345511338971138",17,FALSE,"http://pbs.twimg.com/profile_images/976414811624947712/z-_NNSov_normal.jpg"
"JerseyGoods","New Jersey founder ... spreading news and information on the best state, and most misunderstood, in America!",39256,8097,2268,8585,NA,"James, Duke of York",2011-03-30 17:47:59,FALSE,FALSE,"JerseyGoods","Yo ... New Jersey, duh!","en","274637076",150,FALSE,"http://pbs.twimg.com/profile_images/2403587626/dfelhy8ep3zu2xb4ljtp_normal.jpeg"
"Woke2008","#MAGA. #KAG. #BlockNike",34209,7977,71383,8163,NA,"Woke",2018-04-30 21:42:13,FALSE,FALSE,"Woke2008","","en","991070240749576199",1,FALSE,"http://pbs.twimg.com/profile_images/1016560526393053184/nXA9ymEL_normal.jpg"
"chuckwi87998634","Patriot Christian, Retired Insurance and Financial Advisor. Happyly married, I vote  the person not the party. I’m Independent Wake up America MAGA",15988,3345,37,3391,NA,"DeplorableChuck",2018-04-11 01:39:42,FALSE,FALSE,"chuckwi87998634","","en","983882250218385408",5,FALSE,"http://pbs.twimg.com/profile_images/984645932770721793/u8bkcS48_normal.jpg"
"pollsofpolitics","Independent/Unbiased Daily polls on the hot topic issues in politics!! Also how America is responding to #Trump Follow us to take part! #FBR",2323,20721,4192,11633,"https://t.co/1WhbcgDj3f","🇺🇸PoliticsPolls🇺🇸",2017-10-11 04:37:31,FALSE,FALSE,"pollsofpolitics","District Heights, MD","en","917972406198775808",73,FALSE,"http://pbs.twimg.com/profile_images/1033767417279787010/peOnNLfB_normal.jpg"
"peterboykin","🇺🇸 🐘 Candidate @NCGOP House58 https://t.co/Zlm8vx1cMQ Co-Founder https://t.co/BVxQyJoud5 Host @MagaFirstNews https://t.co/52yhAXZmUt 🏳️‍🌈 Founder https://t.co/Ihg5B0b65U #GayRight",109978,37964,28990,4225,"https://t.co/WSt9NGXqMj","Peter Boykin 🇺🇸🐘 #Vote #Midterms 11/6/18",2009-03-15 05:43:19,FALSE,TRUE,"peterboykin","Greensboro, NC","en","24493104",191,FALSE,"http://pbs.twimg.com/profile_images/993948187370164225/YK3H3VbG_normal.jpg"
"Tombx7M","#Catholic #tcot #Deplorable #ccot #MAGA #KAG don't have all of the answers and neither do you, but we deserve the right to ask the questions.",105226,24707,16055,18999,NA,"Rad123",2012-10-13 12:17:37,FALSE,FALSE,"Tombx7M","","en","877699334",232,FALSE,"http://pbs.twimg.com/profile_images/3739936650/73c60bbc91f13152f9f51d93de650b04_normal.jpeg"
"CliffShep","Army Veteran who supports our @POTUS 1000%! American citizen who loves this country. I follow all #MAGA.#MAGAveteran #NRA 
#OATHKEEPERS #Truth #RedPill 
#QAnon",71240,19191,76626,16993,"https://t.co/DP29JjoYLz","Clifton Shepherd",2009-03-13 02:16:05,FALSE,FALSE,"CliffShep","Pagosa Springs, CO","en","24105930",21,FALSE,"http://pbs.twimg.com/profile_images/1021601351397068800/GhHU1kXF_normal.jpg"
"DeplorableChoir","Just deplorables making music! God, Country, Trump and FUN! #maga #trump2020 #deplorable",17462,38019,15907,8279,"https://t.co/6CxcWV7PaP","The Deplorable Choir",2018-03-05 17:31:31,FALSE,FALSE,"DeplorableChoir","","en","970713428296810501",142,FALSE,"http://pbs.twimg.com/profile_images/992032829717536770/JfBfzlQm_normal.jpg"
"FrancesannMaga","#AMERICAFIRST 🇺🇸🇺🇸🇺🇸🇺🇸#NRA #MAGA #KAG . #Honor #RespectTheFlag #QArmy #TrustThePlan #Trump2020 #WWG1WGA #EveryLifeMatters! Born a fighter,Die a fighter.",14655,8364,55995,8485,NA,"QFrancesann007MAGAQ",2016-05-16 05:58:28,FALSE,FALSE,"FrancesannMaga","United States","en","732087800913395712",1,FALSE,"http://pbs.twimg.com/profile_images/1006653016315977728/hEINS_1g_normal.jpg"
"PaulHook_em","🇺🇸PAULHOOKEM'S Official Page🇺🇸Politics, sports, crypto and other ramblings. #JesusChrist #MAGA #Longhorns #FreeThinker #Patriot",13419,47419,82986,41103,NA,"Paul Hookem 🇺🇸",2013-12-14 23:33:36,FALSE,FALSE,"PaulHook_em","","en","2246299058",142,FALSE,"http://pbs.twimg.com/profile_images/770380430960832512/z9EbSC-a_normal.jpg"
"Dogman1013","🇺🇸#MAGA Former #NavyLEO #DisabledVet  #DogTrainer #Conservative #Biker #CCOT #Constitution #Jesus  #POTUS #Israel Gab;@Dogman1013 #NRA",30827,27761,79939,25481,NA,"Dogman🇺🇸",2009-06-26 12:28:05,FALSE,FALSE,"Dogman1013","NorthWoods, Maine","en","51037080",26,FALSE,"http://pbs.twimg.com/profile_images/1027615066722467840/5cZAoVFM_normal.jpg"
"TexasLips","Texan For Life😎",36830,9728,73472,2867,NA,"TexasLips",2014-08-13 21:12:30,FALSE,FALSE,"TexasLips","Dallas Texas","en","2730319526",42,FALSE,"http://pbs.twimg.com/profile_images/1036406661240504320/eKSSznb4_normal.jpg"
"1DanielScott","Don’t let Leftists kill free speech.  #Maga #Israel",5509,278,4511,1938,NA,"Mr. PCU - #WalkAway",2008-12-10 00:35:00,FALSE,FALSE,"1DanielScott","Los Angeles, CA","en","18007527",6,FALSE,"http://pbs.twimg.com/profile_images/1001535500774031360/7wbKwLwF_normal.jpg"
"carrera911targa","",59737,494,49214,41,NA,"Teacher",2017-01-09 19:58:13,FALSE,FALSE,"carrera911targa","USA","en","818547444438929408",2,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"EntheosShines","Provide tips intel & stories for Patriot, Conservative, Pro-Israel, Pro-Military, Independent,  Political, Christian & other news organizations (Ephesians 5:11)",112972,53988,7970,48176,"https://t.co/8JC0M7XKAi","Enthéos",2014-01-28 14:23:22,FALSE,FALSE,"EntheosShines","Intel, Tips, & Predictions Made  Drudge 132+ Times Since Cloverfield","en","2315583427",446,FALSE,"http://pbs.twimg.com/profile_images/991147322095689729/buScXHyv_normal.jpg"
"jamesirving2","🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸Trump Supporter. #TRUMPFLYNN2020 PROUDLY FOLLOWED BY #GeneralMichaelFlynn",28422,19358,33799,18378,NA,"PatriotFirst",2011-06-11 01:50:07,FALSE,FALSE,"jamesirving2","","en","314935651",51,FALSE,"http://pbs.twimg.com/profile_images/1037911673699540997/H0kctKfq_normal.jpg"
"JannaWilkinso69","❤️Jesus Wife Mom 🇺🇸#MAGA #PATRIOT #1A #2A FB @GenFlynn @DineshDSouza @AntonioSabatoJr @cvpayne @ChrisLoesch @RealDrGina @StephenBaldwin7 BLOCKED by @Rosie",58336,58179,136392,58380,NA,"Janna Deplorable",2017-06-06 21:57:54,FALSE,FALSE,"JannaWilkinso69","","en","872210966456352768",179,FALSE,"http://pbs.twimg.com/profile_images/874850574872838145/lb17qhBX_normal.jpg"
"Jeffmyers0011","Iam a Independent Thinking African - American Patriot! @seanhannity


@FoxNews @realdonaldtrump #KeepAmericaGreat #MAGA #QAnon #TheStormIsHere #GreatAwakening",18521,3728,9295,4999,NA,"American #Patriots",2018-04-04 23:27:56,FALSE,FALSE,"Jeffmyers0011","Atlanta, GA","en","981674763100786689",21,FALSE,"http://pbs.twimg.com/profile_images/1029186962199142400/4zM7cM9U_normal.jpg"
"JohnGre2563232",".@POTUS #MAGA #Qanon 
The choice has always been yours.
The choice will always be yours.
This is not a game.
This is not a popularity contest.
This is LIFE.",37897,8585,24142,8637,"https://t.co/BgnXvRKHJ5","❌ #ReleaseEverything! #WWG1WGA❌",2013-08-30 09:04:47,FALSE,FALSE,"JohnGre2563232","Make your own memes here https://kek.gg/draw/ Jesus is Malik Al-Amlak","en","1712249677",2,FALSE,"http://pbs.twimg.com/profile_images/1037893596580478977/L4BHj7lU_normal.jpg"
"perfectsliders","These polls are not scientific and have no particular meaning.  Just something fun to do and hopefully they can spark positive conversations. Hope you enjoy.",264103,47103,67835,14776,"https://t.co/wRXDQdv23T","Robby Ball",2009-07-09 18:11:41,FALSE,FALSE,"perfectsliders","Earth","en","55312746",639,FALSE,"http://pbs.twimg.com/profile_images/593065305368178688/cQelzmLw_normal.jpg"
"SpitfireSuzy","Outspoken opinions on Politics, Government & Media",70886,1753,73044,862,NA,"Spitfire",2016-08-21 20:54:58,FALSE,FALSE,"SpitfireSuzy","","en","767465035815723008",83,FALSE,"http://pbs.twimg.com/profile_images/1006323125431046145/xJDqkju3_normal.jpg"
